"","NF48_NF54","NF54_NF59","NF59_NF66"
"sfpq.S",5.792356258169,5.84517357647663,5.02972755655794
"myc.L",5.24668794972297,7.78021004179351,4.48319743659506
"ubtf.L",5.12533148956968,4.40762367463664,3.86092318565799
"hes4.L",5.09008510060411,6.35126132266384,5.2022679792348
"smarce1.S",5.08074487404731,5.44108943473136,4.73928259295142
"id2.L",5.07089828550784,3.69370482416162,3.64742114458172
"bhlhe40.L",4.98732322580341,3.515329421606,2.76181194541879
"baz2b.L",4.60168113476301,2.51575926893974,1.15535284234904
"tfe3.S",4.10505756400635,4.11270924058441,5.23777520351374
"gli3.S",4.02076945937134,3.39384132945982,2.30046600513002
"dnajc21.L",3.9878240755656,1.3119862144517,0.942554299549892
"snai1.S",3.81750146998335,3.76719793303126,3.43157869019001
"meis1.L",3.74247406286151,2.73739260603552,2.4364380752911
"setbp1.L",3.51590217616942,3.73056339851557,5.42615360313202
"cnbp.S",3.14130774424796,1.73948576204732,1.28601655931528
"myef2.L",3.11677363896119,4.21618159230595,2.67054849897627
"jund.L",3.09437491960997,4.42927846999569,3.82269552747031
"foxk2.S",3.07735665173245,1.11043767247972,1.1817556717417
"smad7.L",2.93990091862202,2.93745857853248,4.23253808553493
"setbp1.S",2.83682246489663,2.4160487601272,2.50122274632766
"znf326.S",2.79662338705264,2.46268391639485,2.63618702521768
"rela.L",2.77299508286442,1.59739895422158,1.75532138049725
"meox2.L",2.74528621903909,6.27202535077408,8.97475039202492
"dlx2.S",2.64501556694869,0.724129403289015,0.1353196893628
"fosl1.S",2.53036738775475,3.62245493822936,4.45170918075592
"fosl2.S",2.40600091729683,3.29368400377683,3.21248700789178
"tef.S",2.34178180224311,0.344219685770723,0.375468455314229
"meox2.S",2.33495693281497,6.93162951055133,8.09956619257393
"tcf3.S",2.20980490357416,2.52804918314644,3.1313103197926
"nr2f2.S",2.12406023093564,4.23790154701056,1.46905804080308
"klf10.S",2.083194849203,1.4211808132144,1.52815415752652
"dlx2.L",2.05988917030933,0.548125336284318,0.0333707864043281
"tef.L",2.01929995041656,0.253928838891967,0.362172143020837
"csde1.L",1.92276482261704,0.69575994689696,0.925847176726919
"zmiz2.S",1.87439606585926,1.91315760568345,2.4378217100831
"sox9.L",1.84236505866143,0,0
"msx1.S",1.67798294430421,4.17889046224044,3.16317555513823
"hmgb3.L",1.65497353723708,10.3372374068492,5.07480371605204
"klf2.S",1.60282621981613,7.31889975672409,8.45536534244478
"purb.S",1.5906941576726,1.82429871061177,2.78694087750224
"osr2.L",1.56352655422957,8.00391950779909,17.5488659102265
"dnajc1.S",1.53875844588776,1.94203134326112,0.820716002204617
"klf2.L",1.50937957189317,4.97992515188863,2.84581717803991
"plscr1.L",1.47855406481927,2.64028250723639,5.17020783211746
"rxra.L",1.4562735556577,0.681021820271132,0.609432908868555
"hes1.L",1.4336530178412,2.03919977619259,1.59600677189644
"erf.L",1.39931692675902,4.30327804185114,5.33938012026196
"klf4.L",1.31641887023865,4.16157954605266,6.09494617038335
"pax9.L",1.27270925891337,0.413795503144907,0.0946617948451441
"meis2.S",1.26767709625437,0.0239351961985012,0.00295905014849127
"dnajc1.L",1.26536317034063,1.70529395660681,1.06829770737657
"csrnp1.L",1.23000403353812,2.27524085503212,2.17499005963961
"khsrp.S",1.21831035581114,0.802210559414621,0.392061678802717
"baz2b.S",1.21640842609198,1.35103197298885,1.09499785389348
"sox9.S",1.19638586077907,0,0
"hes1.S",1.18987429124513,2.89726730455057,3.33333770145964
"nfe2l1.S",1.18356181150896,0.669711509806001,0.759359010866277
"atf3.S",1.11546476929043,4.29444192028276,1.59681455825259
"glis2.L",1.10670398955474,2.29901538078044,4.56115373309702
"smarce1.L",1.10461153194435,2.04825292497125,1.48272061626342
"sox8.L",1.06436607861168,0.823443465133783,1.48725833975502
"tgif1.L",1.0135775268863,2.54910917987398,3.06681675499367
"scx.S",0.890256032094175,1.73365574942675,0.25156713802481
"ebf2.L",0.882280214276928,2.528506023831,2.38308460785942
"nr2f2.L",0.866192105770489,1.82716856972844,0.890320003710218
"foxo3.L",0.789619389759849,1.0986986407973,1.19713978691816
"mlx.L",0.785517725044206,1.15631317072833,1.62289191483081
"msx2.L",0.665333589216061,1.1092201158931,1.36555160553999
"msx1.L",0.645353084163832,2.38791386772739,1.92264537582745
"klf11.L",0.633139321772692,0.722394844785645,1.09603100537516
"znf605.S",0.631198713190194,0.730366392588672,1.0987849990512
"bcl6.S",0.624906931464362,0.679959824624671,2.85193657236928
"pura.L",0.62154318620787,1.08543520715936,0.915749901551061
"prrx1.L",0.619945871618112,1.62650973306823,2.9232778011745
"prrx1.S",0.611531821821862,1.52052088602425,1.23877499886041
"pbx1.L",0.574835256446129,1.20369233616947,1.1266322243127
"prdm2.L",0.569837176354604,0.792415073335011,1.41546471468599
"id4.S",0.493678057266052,1.94021810688433,4.66731010210703
"hand2.L",0.481188278957188,1.46961750607946,1.93027860869974
