Cell	Celltype	JSD
ar.L	Secretory cell	1.0000000238925146
ar.L	Stromal cell	0.978230490288114
ar.L	Taste cell	1.0000000238926734
ar.L	Umbrella cell	0.9906974313416884
arid1b.L	Acinar cell	0.9903750976858013
arid1b.L	B cell	0.9966003584603571
arid1b.L	Chondrocyte	0.9793902754445822
arid1b.L	Collecting duct intercalated cell	0.9981955436700993
arid1b.L	Cone photoreceptor	0.9830900615694149
arid1b.L	Endocrine cell	0.9753294029624088
arid1b.L	Endothelial cell	0.9921486642011439
arid1b.L	Eosinophil	0.9907854871358533
arid1b.L	Epidermal stem cell	0.9880090313438159
arid1b.L	Epithelial cell	0.9695990241238449
arid1b.L	Erythrocyte	0.9922319086326848
arid1b.L	Fast skeletal muscle cell	0.9886764749425718
arid1b.L	Fibroblast	0.9548969909432172
arid1b.L	Hepatocyte	0.9976925339691645
arid1b.L	Lens fiber cell	0.9983877710841643
arid1b.L	Macrophage	0.9782945510925349
arid1b.L	Melanocyte	0.9837743148958872
arid1b.L	Muscle satellite cell	0.9740153941397762
arid1b.L	Neuron	0.8812381018917274
arid1b.L	Oligodendrocyte	0.9937819266980581
arid1b.L	Proximal tubule cell	0.9985585115521033
arid1b.L	Radial glia	0.9776214587728844
arid1b.L	Retinal pigment epithelial cell	0.9978254598788112
arid1b.L	Secretory cell	0.9923683900070325
arid1b.L	Stromal cell	0.9808899056498994
arid1b.L	Taste cell	0.9904685978641543
arid1b.L	Umbrella cell	0.9769752557105194
arid2.L	Acinar cell	0.9941594828618233
arid2.L	B cell	0.9881969512340831
arid2.L	Chondrocyte	0.9467759742051189
arid2.L	Collecting duct intercalated cell	0.9941857594315672
arid2.L	Cone photoreceptor	0.9797693398471141
arid2.L	Endocrine cell	0.9802673860938467
arid2.L	Endothelial cell	0.9809229835287051
arid2.L	Eosinophil	0.9761223776074277
arid2.L	Epidermal stem cell	0.981265190677236
arid2.L	Epithelial cell	0.9734181605272296
arid2.L	Erythrocyte	0.955740671941783
arid2.L	Fast skeletal muscle cell	0.9926625229244103
arid2.L	Fibroblast	0.9297031472380157
arid2.L	Hepatocyte	0.9919608130051965
arid2.L	Lens fiber cell	0.9972114976931097
arid2.L	Macrophage	0.962877946265979
arid2.L	Melanocyte	0.9798872118479139
arid2.L	Muscle satellite cell	0.9550865953736554
arid2.L	Neuron	0.9216227653893211
arid2.L	Oligodendrocyte	0.9943942483338677
arid2.L	Proximal tubule cell	0.9914549437627107
arid2.L	Radial glia	0.9529067259521057
arid2.L	Retinal pigment epithelial cell	0.9848922906831046
arid2.L	Secretory cell	0.9951072907683987
arid2.L	Stromal cell	0.9618994095450566
arid2.L	Taste cell	0.9808074872966643
arid2.L	Umbrella cell	0.9636916407112609
arid3a.L	Acinar cell	0.9940522658673133
arid3a.L	B cell	0.9929670640017871
arid3a.L	Chondrocyte	0.8570164215365705
arid3a.L	Collecting duct intercalated cell	0.9895324519410807
arid3a.L	Cone photoreceptor	0.9765550688724591
arid3a.L	Endocrine cell	0.9841796934979743
arid3a.L	Endothelial cell	0.9618538987606133
arid3a.L	Eosinophil	0.9741408529709861
arid3a.L	Epidermal stem cell	0.9654495513181528
arid3a.L	Epithelial cell	0.9619976489546804
arid3a.L	Erythrocyte	0.9357220411285806
arid3a.L	Fast skeletal muscle cell	0.9809280221334127
arid3a.L	Fibroblast	0.8552116231025011
arid3a.L	Hepatocyte	0.9877370633608646
arid3a.L	Lens fiber cell	0.9961981006906473
arid3a.L	Macrophage	0.9551934107841973
arid3a.L	Melanocyte	0.9627073549199635
arid3a.L	Muscle satellite cell	0.9468091251337427
arid3a.L	Neuron	0.9791121185541831
arid3a.L	Oligodendrocyte	0.997484392067072
arid3a.L	Proximal tubule cell	0.9923492335364061
arid3a.L	Radial glia	0.9701315392001874
arid3a.L	Retinal pigment epithelial cell	0.9888538651175718
arid3a.L	Secretory cell	0.9784538784707036
arid3a.L	Stromal cell	0.9271647262303966
arid3a.L	Taste cell	0.9639380514073227
arid3a.L	Umbrella cell	0.9091850664784966
arid3b.L	Acinar cell	0.9865970496771184
arid3b.L	B cell	0.993785439161054
arid3b.L	Chondrocyte	0.9367845865578361
arid3b.L	Collecting duct intercalated cell	0.9833106284193864
arid3b.L	Cone photoreceptor	0.9454424512597883
arid3b.L	Endocrine cell	0.973511934415638
arid3b.L	Endothelial cell	0.9805638423042013
arid3b.L	Eosinophil	0.9603785444188104
arid3b.L	Epidermal stem cell	0.9622325553542839
arid3b.L	Epithelial cell	0.9635330452230861
arid3b.L	Erythrocyte	0.9366513347496519
arid3b.L	Fast skeletal muscle cell	0.9725893645898869
arid3b.L	Fibroblast	0.9129776886232737
arid3b.L	Hepatocyte	0.9862268144084958
arid3b.L	Lens fiber cell	0.9899778380019894
arid3b.L	Macrophage	0.9601492785489771
arid3b.L	Melanocyte	0.9755171613856919
arid3b.L	Muscle satellite cell	0.9340445810438143
arid3b.L	Neuron	0.9489087081641696
arid3b.L	Oligodendrocyte	0.9941088968787002
arid3b.L	Proximal tubule cell	0.9878626819872129
arid3b.L	Radial glia	0.970676788117402
