Cell	Celltype	JSDR
ar.L	B cell	7.287453085425e-09
ar.L	Cardiomyocytes	0.0014050715331810348
ar.L	Chondrocyte	0.03260413708758847
ar.L	Ciliated cell	0.002097815731224806
ar.L	Collecting duct intercalated cell	0.000303716909802243
ar.L	Endocrine cell	0.004288220666509468
ar.L	Endothelial cell	0.0002854639098496259
ar.L	Enterocyte	0.010343397873393112
ar.L	Eosinophil	0.0004780948884075542
ar.L	Epidermal stem cell	0.020708314618284596
ar.L	Epithelial cell	0.03567516007265281
ar.L	Erythrocyte	0.001841980146041755
ar.L	Fast skeletal muscle cell	0.0015692842096899362
ar.L	Fibroblast	0.046391147216398476
ar.L	Hepatocyte	0.002787202707830172
ar.L	Macrophage	0.0006788175366447824
ar.L	Melanocyte	0.008271081387609014
ar.L	Muscle satellite cell	0.003912584598471103
ar.L	Neuron	0.001780711531616519
ar.L	Oligodendrocyte	7.287562886482135e-09
ar.L	Osteoclast	7.286647618620634e-09
ar.L	Pit cell	0.002369655781786162
ar.L	Proximal tubule cell	0.00953389084081191
ar.L	Smooth muscle cell	0.0035713316696259767
ar.L	Stomach parietal cell	0.0026127895511798283
ar.L	Stromal cell	0.02269036720323625
ar.L	T cell	0.0005896228293990058
ar.L	Taste cell	0.0012887515364714552
ar.L	Thick Ascending Limb	7.287075609596627e-09
ar.L	Unknown	0.0024289544391634665
arid1b.L	Acinar cell	1.209265398927073e-08
arid1b.L	Antigen presentation cell	0.0027836290557609056
arid1b.L	B cell	0.008121137280936108
arid1b.L	Cardiomyocytes	0.009561857582575217
arid1b.L	Chondrocyte	0.007984494358496352
arid1b.L	Ciliated cell	0.0015935145857702837
arid1b.L	Collecting duct intercalated cell	0.0036046968572579496
arid1b.L	Endocrine cell	0.01403240767212921
arid1b.L	Endothelial cell	0.007260665066164296
arid1b.L	Enterocyte	0.007094895987653338
arid1b.L	Eosinophil	0.005020864385290147
arid1b.L	Epidermal stem cell	0.011481833861546886
arid1b.L	Epithelial cell	0.019733313957776
arid1b.L	Erythrocyte	0.0007280518469513497
arid1b.L	Fast skeletal muscle cell	1.2092565837562574e-08
arid1b.L	Fibroblast	0.028705823252152762
arid1b.L	Hepatocyte	0.0041015034759203095
arid1b.L	Macrophage	0.016069412185694687
arid1b.L	Melanocyte	0.010118701468403546
arid1b.L	Muscle satellite cell	0.009959275920152888
arid1b.L	Neuron	0.009819444692962143
arid1b.L	Oligodendrocyte	0.0015284794927966638
arid1b.L	Osteoclast	0.004675701174912783
arid1b.L	Pit cell	0.005279881263313135
arid1b.L	Proximal tubule cell	0.002471147865602874
arid1b.L	Smooth muscle cell	0.013575456544249964
arid1b.L	Stomach parietal cell	0.0074795174893396155
arid1b.L	Stromal cell	0.014054517394100574
arid1b.L	T cell	0.012182450243285792
arid1b.L	Taste cell	0.0056146941871406675
arid1b.L	Thick Ascending Limb	0.008087275118723647
arid1b.L	Unknown	0.005440418183580209
arid2.L	Acinar cell	-4.772238382244609e-09
arid2.L	Antigen presentation cell	0.015651936974989566
arid2.L	B cell	0.013569084884615945
arid2.L	Cardiomyocytes	0.00780647752711372
arid2.L	Chondrocyte	0.017535592658895816
arid2.L	Ciliated cell	0.004545986694750592
arid2.L	Collecting duct intercalated cell	0.00691847095142839
arid2.L	Endocrine cell	0.014917339535087448
arid2.L	Endothelial cell	0.010753500150995743
arid2.L	Enterocyte	0.014594398723037139
arid2.L	Eosinophil	0.007385976306848563
arid2.L	Epidermal stem cell	0.01571823040866993
arid2.L	Epithelial cell	0.022254084483252723
arid2.L	Erythrocyte	0.016771062274251736
arid2.L	Fast skeletal muscle cell	-4.772326533952764e-09
arid2.L	Fibroblast	0.024029930380988773
arid2.L	Hepatocyte	0.004051680562526694
arid2.L	Macrophage	0.01655830709796491
arid2.L	Melanocyte	0.004775041184803319
arid2.L	Muscle satellite cell	0.010902050921241746
arid2.L	Neuron	0.00703767731915006
arid2.L	Oligodendrocyte	0.004535773585514047
arid2.L	Osteoclast	0.001186628319709282
arid2.L	Pit cell	0.006603152872967977
arid2.L	Proximal tubule cell	0.008210882875988257
arid2.L	Smooth muscle cell	0.015508565967248256
arid2.L	Stomach parietal cell	0.005806927652971194
arid2.L	Stromal cell	0.012947817055324884
arid2.L	T cell	0.02078058186024767
arid2.L	Taste cell	0.00803392035846584
